Tamano del Vector ; Tiempo Bubble (us) ; Tiempo Brick ; n^2
100;77.909;50.285;10000
200;278.097;237.603;40000
300;593.038;663.348;90000
400;994.489;1104.08;160000
500;1752.94;1706.08;250000
600;2709.18;3025.25;360000
700;3019.76;3710.85;490000
800;3867.02;4934.11;640000
900;4654.26;5979.67;810000
1000;8427.99;8554.41;1000000
1100;7794.27;9502.76;1210000
1200;9754.49;7952.13;1440000
1300;5359.54;4881.87;1690000
1400;3803.03;5313.25;1960000
1500;3687.74;4252.53;2250000
1600;3311.69;5481.82;2560000
1700;3507.41;5411;2890000
1800;4001.46;6233.21;3240000
1900;4914.42;7453.79;3610000
2000;5611.73;5977.2;4000000
2100;6484.67;7611.4;4410000
2200;6649.64;6634.31;4840000
2300;6414.86;8561.25;5290000
2400;7361.24;9882.43;5760000
2500;7945.08;9743.49;6250000
2600;9781.77;10788;6760000
2700;10018.8;10195.4;7290000
2800;10452;10788.8;7840000
2900;11050.2;11354.9;8410000
3000;12913;11870.3;9000000
3100;12806.5;13651.8;9610000
3200;13811.7;13448.2;10240000
3300;14175;14643.3;10890000
3400;16100.4;14704.2;11560000
3500;16331.2;18475.6;12250000
3600;18133.8;17319.1;12960000
3700;18495.5;18153.3;13690000
3800;18093.9;19104.3;14440000
3900;20008.8;26758.5;15210000
4000;23269;21397.2;16000000
4100;24940.4;23069.6;16810000
4200;25088.5;22691;17640000
4300;24049.4;23738.5;18490000
4400;25404.5;26027.2;19360000
4500;25664;26769;20250000
4600;28272;29365;21160000
4700;33634.1;29276.7;22090000
4800;31296.4;30182.8;23040000
4900;33185.8;32168.3;24010000
5000;34184.7;32428.2;25000000
5100;33804.4;35253.5;26010000
5200;36473.2;34764.8;27040000
5300;40376.5;37286.5;28090000
5400;40047.8;38950.9;29160000
5500;42902.4;43443.9;30250000
5600;45711.1;41671.5;31360000
5700;46033.6;43127.8;32490000
5800;48216.2;43794.3;33640000
5900;46644.4;48539.8;34810000
6000;49047.3;48100.3;36000000
6100;51726.8;49095.7;37210000
6200;54041.1;51452.4;38440000
6300;54511.4;52920.8;39690000
6400;58411.2;54614.4;40960000
6500;59618.9;62991.5;42250000
6600;64791.5;58306.4;43560000
6700;62984.6;59297.9;44890000
6800;66780.2;59686.4;46240000
6900;69767.5;61186.6;47610000
7000;70719.9;64941.9;49000000
7100;71352.4;69665.9;50410000
7200;73767.5;67817.2;51840000
7300;172681;98463.7;53290000
7400;81540.9;72763.1;54760000
7500;83121.1;73467.1;56250000
7600;83541.2;77379;57760000
7700;87522.8;79157.9;59290000
7800;89435.9;85889;60840000
7900;93444.5;84067.5;62410000
8000;92533;84526.5;64000000
8100;94300.3;86790.3;65610000
8200;99087.6;87403.7;67240000
8300;101008;90333.9;68890000
8400;108865;93343.8;70560000
8500;107404;94656.1;72250000
8600;109419;98336.4;73960000
8700;112038;101527;75690000
8800;123407;104353;77440000
8900;123806;103595;79210000
9000;120689;111487;81000000
9100;125465;108531;82810000
9200;126803;112155;84640000
9300;144773;114353;86490000
9400;133551;116474;88360000
9500;137430;118949;90250000
9600;138822;121806;92160000
9700;197303;126327;94090000
9800;142406;127129;96040000
9900;150526;130091;98010000
10000;151106;141566;100000000
